Gene Symbol,UniProt ID
UCP1,P25874
PRDM16,Q9HAZ2
UCP3,P55916
ACOT11,Q8WXI4
UCP2,P55851
CIDEA,O60543
FNDC5,Q8NAU1
LETMD1,Q6P1Q0
ZNF516,Q92618
BMP8B,P34820
SMARCA4,P51532
TMEM26,Q6ZUK4
BMP8A,Q7Z5Y6
FGF21,Q9NSA1
ADRB3,P13945
NR1D1,P20393
NPPA,P01160
SLC25A44,Q96H78
PPARGC1A,Q9UBK2
ADAMTS5,Q9UNA0
BMP7,P18075
LEP,P41159
SLC2A4,P14672
LPL,P06858
IL6,P05231
CLSTN3,Q9BQT9
FASTKD3,Q14CZ7
ADRB2,P07550
TFAM,Q00059
GPBAR1,Q8TDU6
DLK1,P80370
COX7A1,P24310
NCOA1,Q15788
SFXN5,Q8TD22
CTBP1,Q13363
NHLH2,Q02577
CTBP2,P56545
NCOA2,Q15596
ADIPOQ,Q15848
IL10,P22301
MFSD2A,Q8NA29
PRKG1,Q13976
MFSD2B,A6NFX1
GPD1,P21695
SLC25A27,O95847
PPARG,P37231
DIO2,Q92813
HDAC3,O15379
PRKAA1,Q13131
CETP,P11597
AOC3,Q16853
ANGPTL8,Q6UXH0
INS,P01308
AGRP,O00253
CKMT1A,P12532
GPD2,P43304
ADRB1,P08588
ESR1,P03372
ACVR1C,Q8NER5
GPR183,P32249
C16orf74,Q96GX8
HBEGF,Q99075
SLC6A4,P31645
KDM1A,O60341
GMPR,P36959
WTAP,Q15007
USF1,P22415
ADAM12,O43184
NR1H2,P55055
PPARGC1B,Q86YN6
LIPE,Q05469
HIF1A,Q16665
TBL1XR1,Q9BZK7
SLC25A3,Q00325
NPY,P01303
FABP4,P15090
SLC25A14,O95258
NR4A1,P22736
NR1H3,Q13133
ELOVL3,Q9HB03
COBL,O75128
MKX,Q8IYA7
PMCH,P20382
MAPK14,Q16539
NR3C1,P04150
STAT3,P40763
NRF1,Q16656
GNAS,P84996
DICER1,Q9UPY3
TSHR,P16473
PRLR,P16471
INSR,P06213
ACACA,Q13085
STK11,Q15831
WNT10B,O00744
JAK2,O60674
NR3C2,P08235
MC4R,P32245
ADCY10,Q96PN6
GDF15,Q99988
STC2,O76061
BSCL2,Q96G97
CIDEC,Q96AQ7
RARRES2,Q99969
SLC27A1,Q6PCB7
CKMT2,P17540
ATF4,P18848
FGFR1,P11362
TRPV1,Q8NER1
SLC6A2,P23975
ZIC1,Q15915
THRB,P10828
CHN2,P52757
REG3A,Q06141
APOM,O95445
ESR2,Q92731
ADIPOR2,Q86V24
SPARC,P09486
ROCK1,Q13464
LEPR,P48357
MFN2,O95140
CRH,P06850
METRNL,Q641Q3
ANKRD23,Q86SG2
PTGER3,P43115
PDE4A,P27815
NDUFS3,O75489
MTTP,P55157
COX5A,P20674
TSPO,B1AH88
USP2,O75604
EIF4EBP2,Q13542
ATP5PB,P24539
TRPV2,Q9Y5S1
RORC,P51449
BAAT,Q14032
TXNRD2,Q9NNW7
ADIPOR1,Q96A54
PRKAB1,Q9Y478
LPIN1,Q14693
RHOA,P61586
PTEN,P60484
ACE2,Q9BYF1
GPR3,P46089
PCTP,Q9UKL6
ABCA1,O95477
KL,Q9UEF7
ITPR1,Q14643
CAV1,Q03135
MB,P02144
PRKAG1,P54619
AGER,Q15109
APOB,P04114
CRP,P02741
SCT,P09683
GIP,P09681
STC1,P52823
ATP5MC2,Q06055
GADD45G,O95257
