UniProt ID,Gene Symbol,Protein Name,Drug,Prob Score,Z_Score,P Value
P32249,GPR183,G-protein coupled receptor 183,4-aminobenzoic acid ,0.94,2.311710913499747,0.0103968097847392
Q96DB2,HDAC11,Histone deacetylase 11,Trans-3-indoleacrylic acid,0.94,2.311710913499747,0.0103968097847392
P15692,VEGFA,"Vascular endothelial growth factor A, long form",Alpha-lapachone,0.9,2.088932244083422,0.0183569114080452
P10275,AR,Androgen receptor,Citric acid,0.9,2.088932244083422,0.0183569114080452
P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,Hainanmurpanin,0.9,2.088932244083422,0.0183569114080452
P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,"Limonene, (+/-)- ",0.9,2.088932244083422,0.0183569114080452
Q05469,LIPE,Hormone-sensitive lipase,Murraol,0.9,2.088932244083422,0.0183569114080452
Q05469,LIPE,Hormone-sensitive lipase,Murrangatin,0.9,2.088932244083422,0.0183569114080452
P61073,CXCR4,C-X-C chemokine receptor type 4,L-phenylalanine ,0.9,2.088932244083422,0.0183569114080452
P35354,PTGS2,Prostaglandin G/H synthase 2,DL-tryptophan,0.88,1.9775429093752592,0.0239901476207856
Q16665,HIF1A,Hypoxia-inducible factor 1-alpha,4-O-feruloyl-D-quinic acid,0.88,1.9775429093752592,0.0239901476207856
P15692,VEGFA,"Vascular endothelial growth factor A, long form",Murralongin,0.88,1.9775429093752592,0.0239901476207856
Q99814,EPAS1,Endothelial PAS domain-containing protein 1,Pheophorbide a,0.84,1.7547642399589336,0.0396498213379004
Q99814,EPAS1,Endothelial PAS domain-containing protein 1,"(1R,9S)-5-[(E)-2-(4-chlorophenyl)ethenyl]-11-(pyrimidine-5-carbonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one",0.84,1.7547642399589336,0.0396498213379004
